"density","pH","sulphates","alcohol","quality","Wine_ID"
"0.9908","3.3","0.54","12.3","7","1225"
"0.9902","3.1","0.53","12.7","6","1226"
"0.9908","3.3","0.54","12.3","7","1227"
"0.9943","3.1","0.42","10.5","5","1228"
"0.9921","3.2","0.28","12.5","6","1229"
"0.9911","3.2","0.32","12.4","3","1230"
"0.9986","3.1","0.41","8.7","6","1231"
"0.992","3.2","0.54","12.4","7","1232"
"0.992","3.2","0.54","12.6","7","1233"
"0.9943","3.4","0.44","11","6","1234"
"0.9937","3.4","0.5","10.1","6","1235"
"0.993","3","0.48","10.5","5","1236"
"0.9902","3.1","0.53","12.7","6","1237"
"0.9928","3.2","0.51","10.9","5","1238"
"0.9896","3.1","0.43","13.5","7","1239"
"0.998","3.2","0.59","9.7","5","1240"
"0.9954","3.5","0.43","9.2","6","1241"
"0.9938","3.4","0.41","10.6","7","1242"
"0.9918","3","0.39","13.3","7","1243"
"0.9896","3.1","0.43","13.5","7","1244"
"0.9944","3.3","0.32","10.1","5","1245"
"0.9999","2.9","0.68","9.4","4","1246"
"0.9953","3.2","0.4","10.6","7","1247"
"0.992","3.3","0.4","11.3","6","1248"
"0.9925","3.3","0.4","10.8","7","1249"
"0.9981","3.2","0.51","10.4","5","1250"
"0.9952","3.8","0.51","10.5","7","1251"
"0.9927","3.1","0.42","9.3","5","1252"
"0.9927","3.1","0.42","9.3","6","1253"
"0.9911","3.3","0.39","12.2","7","1254"
"0.9936","3.1","0.3","9.2","5","1255"
"0.9959","3.8","0.57","10.3","6","1256"
"0.9946","3.3","0.62","9.4","6","1257"
"0.9948","3.3","0.35","10.2","6","1258"
"0.9955","3.1","0.39","9","6","1259"
"0.9951","3.1","0.36","9.3","6","1260"
"0.9952","3.1","0.34","9.2","6","1261"
"0.9946","3.3","0.64","9.4","6","1262"
"0.9946","3.3","0.62","9.4","6","1263"
"0.9944","2.9","0.46","9.5","6","1264"
"0.9938","3.5","0.39","9.9","5","1265"
"0.9963","3.5","0.62","11.1","7","1266"
"0.991","3","0.41","12.3","8","1267"
"1.0003","3.2","0.69","8.6","7","1268"
"0.9966","3","0.35","9.4","5","1269"
"0.9993","3.1","0.58","9.4","6","1270"
"1.0003","3.2","0.69","8.6","7","1271"
"0.9938","3.2","0.42","10.9","5","1272"
"0.9965","3.2","0.48","9.4","5","1273"
"0.9938","3.2","0.42","10.9","5","1274"
"0.9993","3.1","0.58","9.4","6","1275"
"0.9938","3.2","0.46","9.2","6","1276"
"1.0003","3.2","0.69","8.6","7","1277"
"0.9966","3","0.35","9.4","5","1278"
"0.9942","3.3","0.37","10.8","6","1279"
"0.9928","3.3","0.62","10.5","6","1280"
"0.991","3","0.78","12.5","6","1281"
"0.9911","3","0.48","12.1","7","1282"
"0.9977","3","0.43","8.7","5","1283"
"0.9927","3.1","0.25","12.7","8","1284"
"0.9911","3","0.48","12.1","7","1285"
"0.991","3","0.78","12.5","6","1286"
"0.9912","3.1","0.44","11.4","7","1287"
"0.9907","3","0.6","12.9","7","1288"
"0.9902","3.2","0.51","12.8","7","1289"
"0.992","3.4","0.44","11.2","6","1290"
"0.994","3.1","0.42","9.7","6","1291"
"0.9966","3","0.56","9.7","6","1292"
"0.993","3.5","0.54","10.3","6","1293"
"0.993","3","0.87","11.6","4","1294"
"0.993","3","0.86","11.6","4","1295"
"0.9966","3","0.56","9.7","6","1296"
"0.9942","3.3","0.44","10.9","6","1297"
"0.9925","3.2","0.37","12.6","7","1298"
"0.9925","3.3","0.47","12.4","6","1299"
"0.9928","3","0.4","11.5","5","1300"
"0.995","2.9","0.35","10.2","6","1301"
"0.9939","3.2","0.27","11.4","5","1302"
"0.9958","3.3","0.33","9.6","6","1303"
"0.9952","3.1","0.3","10.3","6","1304"
"1","3","0.75","9.3","5","1305"
"0.9948","3.3","0.49","10.7","7","1306"
"0.99","3.1","0.49","12.8","8","1307"
"0.9958","3","0.62","9.5","5","1308"
"0.9948","3","0.45","10.4","6","1309"
"0.9949","3","0.61","10.3","6","1310"
"0.997","3.5","0.39","9.9","6","1311"
"0.9927","3.2","0.5","10.7","6","1312"
"0.9938","2.9","0.43","10.5","5","1313"
"0.9949","3.1","0.48","9.6","5","1314"
"0.9953","3.2","0.46","9.3","6","1315"
"0.997","3.1","0.46","10","6","1316"
"0.9932","3","0.39","11.2","6","1317"
"0.9927","3.3","0.62","10.8","5","1318"
"0.9932","3.5","0.51","10.3","6","1319"
"0.9955","3","0.42","8.8","5","1320"
"0.9914","3","0.74","12.8","6","1321"
"0.991","3.2","0.43","13.2","6","1322"
"0.992","3.5","0.56","10.1","6","1323"
"0.9924","3.4","0.66","11","5","1324"
"0.9927","3.3","0.62","10.8","6","1325"
"0.9911","3.2","0.52","12.8","7","1326"
"0.9958","3.1","0.36","9.2","6","1327"
"0.9928","3.1","0.44","10.5","6","1328"
"0.9902","3.4","0.38","11.7","6","1329"
"0.994","2.9","0.46","9.5","5","1330"
"0.994","2.9","0.45","9.5","5","1331"
"0.9972","3.4","0.4","8.8","6","1332"
"1.0004","3.2","0.51","9.3","7","1333"
"0.991","3.1","0.75","12.6","8","1334"
"0.9918","3.2","0.34","12.4","6","1335"
"0.995","3.7","0.72","10.1","6","1336"
"0.9941","3.3","0.37","11.2","8","1337"
"0.9956","3.3","0.52","10","5","1338"
"0.9956","3.3","0.52","10","5","1339"
"0.9959","3","0.39","10.8","6","1340"
"0.9922","3.3","0.33","10","6","1341"
"0.9931","3","0.33","10.4","5","1342"
"0.9959","3","0.39","10.8","6","1343"
"0.9984","3.5","0.47","9.8","6","1344"
"0.9908","3.3","0.4","12.2","8","1345"
"0.991","3.4","0.48","12.7","8","1346"
"0.9928","3.2","0.35","12.2","7","1347"
"0.9936","3.2","0.34","11.9","7","1348"
"0.9941","3.3","0.37","11.2","8","1349"
"0.9924","3","0.28","10.4","4","1350"
"0.9917","3.3","0.67","12.8","7","1351"
"0.9906","3.3","0.39","12.7","7","1352"
"0.995","3.7","0.72","10.1","6","1353"
"0.9956","3.3","0.52","10","5","1354"
"0.9955","3.4","0.41","9","5","1355"
"0.9907","2.9","0.42","11.4","5","1356"
"1","3.3","0.59","8.9","6","1357"
"0.9953","3.2","0.44","9.3","6","1358"
"0.9911","3.3","0.46","12","8","1359"
"0.9922","3.4","0.54","10.8","7","1360"
"0.9951","3.5","0.37","10.5","6","1361"
"0.9948","3.6","0.43","10.6","7","1362"
"0.9906","3.2","0.48","11.3","7","1363"
"0.994","3.2","0.38","9.5","4","1364"
"0.9907","2.9","0.42","11.4","5","1365"
"0.9927","3.3","0.33","10.1","7","1366"
"0.9914","3.3","0.43","10.9","6","1367"
"0.9958","3.2","0.45","8.9","5","1368"
"1","3.3","0.59","8.9","6","1369"
"0.9984","2.9","0.49","9.3","5","1370"
"0.9941","3.3","0.4","10.4","6","1371"
"0.9944","3.1","0.38","12","7","1372"
"0.998","2.9","0.68","9.5","6","1373"
"0.998","2.9","0.68","9.5","6","1374"
"0.9902","3.1","0.38","12.4","7","1375"
"0.9911","3.3","0.41","11.2","7","1376"
"0.9929","3.2","0.69","11.4","6","1377"
"0.993","3.2","0.71","11.4","6","1378"
"0.9918","3.4","0.38","11.1","7","1379"
"0.992","3.1","0.42","10.4","6","1380"
"0.9932","3.4","0.35","12","7","1381"
"0.992","3.5","0.61","12.3","7","1382"
"0.994","3.1","0.35","9.1","6","1383"
"0.9923","3.2","0.33","10.5","6","1384"
"0.993","3.2","0.7","11.4","6","1385"
"0.9956","3.8","0.64","9.5","5","1386"
"0.9907","3.4","0.9","13.7","7","1387"
"0.99","3.3","0.51","13.4","6","1388"
"0.9918","3.2","0.48","11.3","7","1389"
"0.9926","3.1","0.34","10","6","1390"
"0.995","3.5","0.42","10.1","6","1391"
"0.99","3.3","0.42","12.2","6","1392"
"0.99","3.3","0.51","13.4","6","1393"
"0.9946","3.3","0.42","9.3","6","1394"
"0.9907","3.4","0.9","13.7","7","1395"
"0.9898","3.1","0.46","12.3","7","1396"
"0.9918","3.2","0.48","11.3","7","1397"
"0.9986","3","0.46","8.9","7","1398"
"0.9986","3","0.46","8.9","7","1399"
"0.9928","3.2","0.46","11.5","6","1400"
"0.9986","3","0.46","8.9","7","1401"
"0.9979","3.2","0.52","9.3","6","1402"
"0.994","3.3","0.5","11.1","8","1403"
"0.9937","3.3","0.64","10.9","8","1404"
"0.9938","2.9","0.38","11.6","5","1405"
"0.9942","3.2","0.35","10.2","4","1406"
"0.9944","3","0.38","10.5","8","1407"
"0.993","2.9","0.78","11.4","6","1408"
"0.9986","3","0.46","8.9","7","1409"
"0.9932","3.1","0.41","10.6","6","1410"
"0.9934","3.3","0.4","11.6","6","1411"
"0.9928","3.2","0.46","11.5","6","1412"
"0.9925","3.3","0.79","12.3","8","1413"
"0.9944","3.1","0.41","10.8","6","1414"
"0.9909","3.3","0.38","11.3","6","1415"
"0.9932","3.4","0.36","9.3","5","1416"
"0.9934","3.4","0.6","10","6","1417"
"1.0001","3","0.63","11","3","1418"
"0.992","3.1","0.55","10.2","5","1419"
"0.9916","3.1","0.4","10.8","7","1420"
"0.998","3.1","0.34","10.1","4","1421"
"0.9919","3.3","0.37","11.6","6","1422"
"0.9925","3.3","0.47","9.1","5","1423"
"0.9977","3.1","0.43","10","4","1424"
"0.9944","3.1","0.41","10.8","6","1425"
"0.991","3.3","0.35","11.4","6","1426"
"0.99","3.1","0.34","12.7","6","1427"
"0.9917","3.1","0.55","11.3","5","1428"
"0.9923","3","0.68","10.4","7","1429"
"0.9928","3.3","0.46","9.6","5","1430"
"0.9923","3","0.31","10.1","4","1431"
"0.9928","3.3","0.46","9.6","5","1432"
"0.9902","3.1","0.49","12.1","7","1433"
"0.9893","3.1","0.33","12.2","6","1434"
"0.9917","3.1","0.55","11.3","5","1435"
"0.9982","3.2","0.5","9.6","5","1436"
"1.0005","3","0.7","9.2","5","1437"
"0.9923","3","0.68","10.4","7","1438"
"0.9951","3.2","0.34","9.5","5","1439"
"0.9956","3.2","0.47","8.9","5","1440"
"0.998","3","0.44","8.8","5","1441"
"0.9928","3.2","0.35","10.5","5","1442"
"0.9938","3.1","0.34","9.4","5","1443"
"0.9914","3.2","0.4","12.2","6","1444"
"0.9955","3.1","0.35","11.3","6","1445"
"0.9924","3.3","0.42","12.2","6","1446"
"0.9911","3.4","0.42","12.2","6","1447"
"0.9917","3.2","0.47","11.2","6","1448"
"0.9917","3.2","0.47","11.2","6","1449"
"0.9932","3.2","0.27","11.5","6","1450"
"0.9955","3.1","0.35","11.3","6","1451"
"0.9929","3","0.42","9.3","5","1452"
"0.9955","3.1","0.35","11.3","6","1453"
"0.9958","3.1","0.38","11.8","7","1454"
"1.0012","3","0.54","9.2","5","1455"
"0.9968","3","0.81","9.2","5","1456"
"0.9911","3.4","0.42","12.2","6","1457"
"0.9924","3.3","0.42","12.2","6","1458"
"0.991","3.3","0.41","12.2","6","1459"
"0.9946","3.2","0.42","10.6","6","1460"
"0.9928","3.3","0.4","12.4","6","1461"
"0.9946","3.6","0.44","10.8","6","1462"
"0.9917","3.2","0.47","11.2","6","1463"
"0.9918","3.1","0.46","11","6","1464"
"0.9926","3.2","0.27","12.7","8","1465"
"0.9931","3.5","0.53","10.2","5","1466"
"0.9932","3.2","0.27","11.5","6","1467"
"0.9903","3.1","0.39","12.3","7","1468"
"0.9928","3.2","0.39","9.8","5","1469"
"0.9929","3","0.42","9.3","5","1470"
"0.9958","3.1","0.38","11.8","7","1471"
"0.9955","3.1","0.35","11.3","6","1472"
"0.9911","3.2","0.28","11.4","5","1473"
"0.9938","3.2","0.48","10.8","6","1474"
"0.9942","3","0.48","9.5","4","1475"
"0.9945","3.5","0.44","10.2","6","1476"
"0.9962","3.2","0.36","10.7","5","1477"
"0.992","3.1","0.29","10.8","6","1478"
"0.9927","3","0.28","11.5","6","1479"
"0.9948","3.3","0.49","10.7","6","1480"
"0.9945","3.5","0.44","10.2","6","1481"
"0.9942","3.4","0.6","10.1","6","1482"
"0.9952","3.6","0.81","10.4","6","1483"
"0.9942","3","0.48","9.5","4","1484"
"0.9958","3.1","0.5","9.1","3","1485"
"0.9918","3","0.39","10.6","6","1486"
"0.9932","3.3","0.7","9.4","6","1487"
"1.0004","3.5","0.45","9.8","6","1488"
"0.9972","3.2","0.54","9.5","6","1489"
"0.9998","3","0.41","9.3","5","1490"
"0.9918","3.6","0.45","10.3","6","1491"
"0.9918","3.1","0.62","11.1","5","1492"
"0.9964","3.1","0.48","10","5","1493"
"0.9936","3.1","0.38","12.3","8","1494"
"0.9931","3.1","0.38","12.4","8","1495"
"0.9938","3.1","0.38","12.3","7","1496"
"0.9934","3.4","0.32","10.4","5","1497"
"0.99","3.1","0.48","12.1","7","1498"
"0.9914","3.2","0.42","12.5","6","1499"
"0.9904","3.2","0.6","13","6","1500"
"0.994","3","0.32","11","7","1501"
"0.9938","3.1","0.37","10.1","5","1502"
"0.9933","3.1","0.36","9.2","5","1503"
"0.9909","3.3","0.34","12.6","7","1504"
"0.9942","3.3","0.38","12.2","8","1505"
"0.9945","3","0.49","9.8","7","1506"
"0.9954","3.1","0.52","11","6","1507"
"0.996","3.2","0.64","10","6","1508"
"0.9991","3.6","0.44","9.8","6","1509"
"0.993","3.2","0.47","10.5","5","1510"
"0.9942","3.2","0.48","10","5","1511"
"0.9934","3","0.51","11.2","6","1512"
"0.9939","3","0.32","11","7","1513"
"0.9937","3","0.28","11.2","6","1514"
"0.994","3","0.32","11","7","1515"
"0.9926","3.1","0.77","10.5","6","1516"
"0.9951","3","0.33","10.6","6","1517"
"0.9952","3","0.33","10.6","6","1518"
"0.9935","3","0.34","12","6","1519"
"0.9938","3.1","0.37","10.1","5","1520"
"0.9939","3.1","0.37","10.1","6","1521"
"0.9933","3.1","0.36","9.2","5","1522"
"0.9927","3.3","0.63","11","5","1523"
"0.998","3.3","0.49","10","6","1524"
"0.9997","3.3","0.39","8.7","6","1525"
"0.9981","3","0.44","8.7","5","1526"
"0.992","3.2","0.54","11.1","6","1527"
"0.9954","3","0.55","11","6","1528"
"0.992","3.2","0.54","11.1","6","1529"
"0.9997","3.3","0.39","8.7","6","1530"
"0.9981","3","0.44","8.7","5","1531"
"0.9943","3.1","0.3","11.2","7","1532"
"0.9941","3.1","0.3","11.1","7","1533"
"0.9936","3.2","0.54","10.8","6","1534"
"0.9996","3.4","0.67","9","6","1535"
"0.9932","3","0.4","10.3","6","1536"
"0.9926","2.9","0.32","9.9","5","1537"
"0.9936","3.1","0.41","10","6","1538"
"0.992","3.2","0.42","9.8","6","1539"
"0.9936","3.2","0.54","10.8","6","1540"
"0.9996","3.4","0.67","9","6","1541"
"0.993","3.2","0.32","9.1","4","1542"
"0.9924","3.2","0.57","10.6","6","1543"
"0.9928","3.2","0.72","10.6","6","1544"
"0.9926","2.9","0.32","9.9","5","1545"
"0.9952","3.2","0.47","10.6","6","1546"
"0.9945","3.1","0.45","9.9","6","1547"
"0.9945","3.1","0.45","9.9","6","1548"
"0.9903","3.3","0.59","12.8","6","1549"
"0.9932","3","0.4","10.3","6","1550"
"0.9953","3.2","0.48","10.6","6","1551"
"0.9936","3.1","0.31","8.7","6","1552"
"0.9912","3.3","0.44","12.6","7","1553"
"0.9962","3.4","0.63","11","7","1554"
"0.9965","3.3","0.6","11.2","7","1555"
"0.9932","3.5","0.57","10.7","7","1556"
"0.9967","3.1","0.58","9.6","6","1557"
"0.9953","3.2","0.48","10.6","6","1558"
"0.9963","3.3","0.57","9","4","1559"
"0.992","3","0.33","10.5","4","1560"
"0.991","3.3","0.52","12.8","6","1561"
"0.9958","3.2","0.46","10.1","5","1562"
"0.99","3.3","0.33","12.2","7","1563"
"0.991","3.3","0.52","12.8","6","1564"
"0.9958","3.2","0.46","10.1","5","1565"
"0.9938","3.1","0.51","10.1","6","1566"
"0.9996","3.1","0.41","9.2","5","1567"
"0.9946","3.3","0.44","9.9","5","1568"
"0.9974","3.5","0.58","9.7","6","1569"
"0.9945","3.2","0.46","9.9","5","1570"
"0.9946","3.2","0.45","9.9","5","1571"
"0.9974","3.5","0.58","9.7","6","1572"
"0.9957","3.5","0.5","10.3","6","1573"
"0.9931","3.2","0.35","10.3","5","1574"
"0.9947","2.9","0.34","10.5","4","1575"
"0.9953","3.6","0.76","10.5","6","1576"
"0.9931","3.3","0.44","9.8","6","1577"
"0.9946","3.3","0.58","10.6","4","1578"
"0.9978","3.6","0.68","10.1","5","1579"
"0.9989","3.2","0.53","9","4","1580"
"1.0004","3.2","0.45","9.5","5","1581"
"0.9938","2.9","0.32","11.5","6","1582"
"0.9934","3","0.33","11.9","7","1583"
"0.9978","3.6","0.68","10.1","5","1584"
"0.9956","3.2","0.42","9.2","6","1585"
"0.9982","3","0.4","8.7","5","1586"
"0.9948","3.1","0.46","9.8","5","1587"
"0.9956","3.2","0.42","9.2","6","1588"
"0.9982","3","0.4","8.7","5","1589"
"0.9926","3.4","0.48","11.2","6","1590"
"0.991","3.1","0.82","12.3","6","1591"
"0.9945","3.3","0.44","10.4","6","1592"
"0.9916","3.1","0.41","10.7","6","1593"
"0.9953","3.1","0.59","10.5","6","1594"
"0.9938","3","0.4","9.4","6","1595"
"0.9956","3.2","0.43","9.2","6","1596"
"0.9906","3.2","0.3","11.9","5","1597"
"0.9956","3.2","0.43","9.2","6","1598"
"0.9932","3.3","0.39","9.9","6","1599"
"0.9914","3.1","0.5","11.4","6","1600"
"0.9938","3","0.4","9.4","6","1601"
"0.996","3.1","0.52","10.7","6","1602"
"0.9906","3.3","0.36","12.7","5","1603"
"0.98815","3.3","0.5","13.5","7","1604"
"0.9942","3.2","0.35","9.5","5","1605"
"0.9903","3.4","0.42","12.9","9","1606"
"0.9906","3.1","0.46","12.5","6","1607"
"0.9935","3.3","0.38","9.5","7","1608"
"1.0024","3","0.47","8.6","5","1609"
"0.9968","3.1","0.46","10","7","1610"
"0.9906","3.1","0.46","12.5","6","1611"
"0.9941","3.1","0.34","10.1","6","1612"
"0.9919","3","0.32","11.3","7","1613"
"0.9928","3.3","0.4","10.6","7","1614"
"0.9958","3.1","0.34","10.8","5","1615"
"0.9932","3.4","0.47","10.7","6","1616"
"0.9957","3.1","0.4","9","6","1617"
"0.9937","3.2","0.52","9.2","6","1618"
"0.9982","3.1","0.48","8.5","6","1619"
"0.9928","3.4","0.36","11.3","8","1620"
"0.9919","3","0.32","11.3","7","1621"
"0.9956","3.1","0.34","9.4","5","1622"
"0.9957","3.1","0.37","8.7","6","1623"
"0.9954","3.4","0.36","9.4","6","1624"
"0.993","3.1","0.51","10.5","7","1625"
"0.9954","3.4","0.53","9.7","6","1626"
"0.9987","3.3","0.44","10.2","6","1627"
"0.9956","3.1","0.34","9.4","5","1628"
"0.9928","3.2","0.35","11.5","6","1629"
"0.9951","2.9","0.31","9.6","6","1630"
"0.993","3.2","0.7","11.4","5","1631"
"0.9928","3.2","0.35","11.5","6","1632"
"0.9926","3.4","0.58","12.2","8","1633"
"0.9938","3.2","0.38","11","7","1634"
"1.0001","3","0.52","9.2","6","1635"
"0.9933","3.3","0.45","10.2","6","1636"
"0.9952","3.2","0.33","10","5","1637"
"0.9934","3.1","0.48","9.7","6","1638"
"0.9988","3","0.51","9.2","5","1639"
"0.993","3.1","0.39","10.5","5","1640"
"0.9952","3.2","0.33","10","5","1641"
"0.9948","3.3","0.52","10.1","6","1642"
"0.9998","3.4","0.36","9.1","7","1643"
"0.9971","3.1","0.57","10.2","7","1644"
"0.9998","3.4","0.36","9.1","7","1645"
"0.9962","3.2","0.59","10.5","7","1646"
"0.9948","3.3","0.52","10.1","6","1647"
"0.99","3.1","0.28","12.1","7","1648"
"0.9942","3.4","0.59","10.2","5","1649"
"0.9965","3.7","0.52","9.4","4","1650"
"0.9912","3.1","0.67","12.8","7","1651"
"0.9978","3.1","0.58","9","6","1652"
"0.9928","3.2","0.36","10.9","4","1653"
"1.0103","3.2","0.38","8.8","6","1654"
"0.9956","3.1","0.38","9","5","1655"
"0.9936","3.1","0.59","10.2","5","1656"
"0.9929","3.2","0.48","9.2","5","1657"
"0.9966","3.3","0.58","11.3","6","1658"
"0.9964","3.1","0.45","8.8","5","1659"
"0.996","3.2","0.4","9.3","5","1660"
"0.9959","3.2","0.45","9.4","6","1661"
"0.9954","3.2","0.4","10.3","6","1662"
"0.9914","2.9","0.42","10.8","7","1663"
"1.0103","3.2","0.38","8.8","6","1664"
"1.0004","3.3","0.58","9","4","1665"
"0.9911","3.4","0.51","11.5","8","1666"
"0.9938","3.3","0.43","10.8","5","1667"
"0.9927","3","0.51","11.8","6","1668"
"0.9922","3.1","0.38","10.5","7","1669"
"0.9924","3.1","0.44","9.9","6","1670"
"0.9963","3.2","0.56","9.8","6","1671"
"0.9936","3.4","0.42","11.4","7","1672"
"0.9951","3.2","0.38","9.3","5","1673"
"0.9951","3.2","0.38","9.3","5","1674"
"0.9955","3.3","0.44","10.3","6","1675"
"0.9961","3.2","0.47","8.9","5","1676"
"0.9936","3.4","0.42","11.4","7","1677"
"0.992","3.1","0.35","11.1","6","1678"
"0.9944","3.4","0.45","10.4","6","1679"
"0.9944","3.3","0.43","10.1","5","1680"
"1.0008","3.2","0.55","9","5","1681"
"0.9962","3.7","0.55","11.9","6","1682"
"0.9986","3.1","0.38","9","7","1683"
"0.9986","3.1","0.38","9","7","1684"
"1","3.1","0.44","9.1","7","1685"
"0.9986","3.1","0.38","9","7","1686"
"0.9982","3.5","0.72","10","5","1687"
"1","3.1","0.44","9.1","7","1688"
"0.9949","3.6","0.63","9.4","3","1689"
"0.9915","3.3","0.55","11.4","6","1690"
"0.9951","3.1","0.45","9.7","4","1691"
"0.9986","3.1","0.38","9","7","1692"
"0.9927","3.3","0.49","11.8","6","1693"
"0.9955","3.3","0.41","10.2","5","1694"
"0.9952","3.4","0.42","9.2","6","1695"
"0.9928","3.3","0.4","11","6","1696"
"0.9982","3.1","0.31","10","6","1697"
"0.9914","3.3","0.37","12.2","6","1698"
"0.9927","3.3","0.49","11.8","6","1699"
"0.9918","3.4","0.43","11.6","6","1700"
"0.9944","3.4","0.61","10.2","6","1701"
"0.9969","3.1","0.46","10.3","5","1702"
"0.9955","3.3","0.35","8.6","4","1703"
"0.9954","3.2","0.44","9.6","5","1704"
"0.9955","3.2","0.45","9.6","5","1705"
"0.9921","3.4","0.47","11.3","6","1706"
"0.9934","3.4","0.55","9.9","6","1707"
"0.9998","3.5","0.4","9.6","5","1708"
"0.9946","3.4","0.6","10.6","4","1709"
"0.9984","3.4","0.39","9.8","5","1710"
"0.9924","3.1","0.47","10.5","5","1711"
"0.9939","3.2","0.51","10.8","5","1712"
"0.995","3.2","0.51","10","6","1713"
"0.9957","3.3","0.49","10.1","6","1714"
"0.9953","3.1","0.48","9.4","5","1715"
"0.9912","3.3","0.59","11.5","8","1716"
"0.9939","3.3","0.5","10.8","6","1717"
"0.9921","3.1","0.43","9.9","6","1718"
"0.9954","3.2","0.43","9","4","1719"
"0.9933","3.4","0.31","9.4","6","1720"
"0.9941","3.5","0.44","10.8","7","1721"
"0.995","3.5","0.45","10.9","7","1722"
"0.9977","3.2","0.38","12","6","1723"
"0.9912","3.3","0.59","11.5","8","1724"
"0.9945","3.5","0.42","10.5","6","1725"
"0.9952","3.3","0.37","9.3","6","1726"
"0.9924","3.2","0.44","11.8","6","1727"
"0.9986","3.5","0.36","10","6","1728"
"0.9953","3.1","0.48","9.4","5","1729"
"0.9939","3.2","0.68","11.4","6","1730"
"0.9929","2.9","0.3","10.4","6","1731"
"0.9988","3.4","0.37","9.5","6","1732"
"0.9906","3.1","0.32","11.9","5","1733"
"0.9914","3","0.45","11.1","6","1734"
"0.9978","3.4","0.38","9.6","6","1735"
"0.9928","3.3","0.47","12","6","1736"
"0.9948","3.1","0.42","8.7","5","1737"
"0.9978","3.4","0.38","9.6","6","1738"
"0.9946","3.2","0.44","10","5","1739"
"0.9908","2.9","0.32","11.4","4","1740"
"0.9954","3.1","0.45","9.6","6","1741"
"0.9906","3.2","0.32","12.9","6","1742"
"0.99705","3.1","0.35","9.7","6","1743"
"0.9982","3.2","0.51","9.3","6","1744"
"0.9932","3.1","0.3","9.1","5","1745"
"0.9977","3.2","0.48","8.6","5","1746"
"0.994","3.1","0.42","9.9","5","1747"
"0.9982","3.2","0.51","9.3","6","1748"
"0.9929","3.3","0.42","10.9","5","1749"
"0.9924","3.2","0.43","10.2","6","1750"
"0.9966","3.1","0.57","9.7","6","1751"
"0.9921","3.4","0.51","11.4","7","1752"
"0.9967","3.2","0.54","9.5","6","1753"
"0.9934","3.4","0.54","10.2","7","1754"
"0.9914","3.3","0.43","11.1","6","1755"
"0.99705","3.1","0.35","9.7","6","1756"
"0.9961","3.2","0.43","9.3","5","1757"
"0.9967","3.2","0.44","8.8","5","1758"
"0.9926","2.8","0.46","10.6","5","1759"
"0.99605","3.2","0.44","9.3","5","1760"
"0.99435","3.3","0.35","10.2","6","1761"
"0.9948","3.2","0.51","10.2","6","1762"
"0.9916","3.5","0.42","11","7","1763"
"0.997","3.4","0.5","9.6","6","1764"
"0.9961","3.2","0.43","9.3","5","1765"
"0.9967","3.2","0.44","8.8","5","1766"
"0.9961","3.2","0.45","8.8","5","1767"
"0.9955","3.3","0.69","8.9","5","1768"
"0.9922","3.2","0.38","10","5","1769"
"0.9918","3.2","0.56","12.2","7","1770"
"0.9955","3","0.42","10.9","6","1771"
"0.9941","3.3","0.72","9.5","6","1772"
"0.9955","3","0.43","10.9","6","1773"
"0.9955","3","0.42","10.9","6","1774"
"0.9924","3.2","0.4","10.8","6","1775"
"0.9973","3.2","0.4","12","6","1776"
"0.999","3.6","0.47","9.8","5","1777"
"0.9941","3.3","0.72","9.5","6","1778"
"0.9922","3.4","0.69","11","8","1779"
"0.9922","3.4","0.69","11","8","1780"
"0.9953","3.2","0.38","9.8","5","1781"
"0.9945","3.5","0.44","10.5","4","1782"
"0.9945","3.1","0.37","11.4","6","1783"
"0.9957","3.3","0.57","10.1","6","1784"
"0.9932","3.3","0.46","11.6","7","1785"
"0.9945","3.1","0.37","11.4","6","1786"
"0.9913","3.1","0.52","11.8","7","1787"
"0.9909","3.3","0.43","12.1","7","1788"
"0.9939","3.2","0.34","12","5","1789"
"0.991","3.1","0.74","12.1","7","1790"
"0.9954","3.2","0.46","9.1","5","1791"
"0.9943","3.4","0.5","9.3","5","1792"
"0.993","3.2","0.53","10.4","6","1793"
"1.0002","3.3","0.64","9.1","5","1794"
"0.9946","3.3","0.54","9.4","5","1795"
"0.9953","3.2","0.47","9.6","6","1796"
"0.9918","3.2","0.62","12","5","1797"
"0.9936","3.3","0.34","11.3","8","1798"
"0.9984","3.1","0.41","8.7","6","1799"
"0.9956","3.4","0.58","9.9","6","1800"
"0.9966","3.1","0.4","9.3","6","1801"
"0.9942","3.1","0.32","9.5","5","1802"
"0.9984","3.1","0.41","8.7","6","1803"
"0.9956","3.4","0.58","9.9","6","1804"
"0.9966","3.1","0.4","9.3","6","1805"
"0.9974","3.2","0.39","9.4","5","1806"
"0.9944","3.2","0.41","9.4","5","1807"
"1.0008","3.3","0.79","8.8","6","1808"
"0.9974","3.2","0.39","9.4","5","1809"
"1.0008","3.3","0.79","8.8","6","1810"
"0.9928","3.2","0.41","9.9","6","1811"
"0.9944","3.2","0.41","9.4","5","1812"
"0.9908","3.3","0.37","12.6","6","1813"
"0.9917","3.2","0.43","11.1","6","1814"
"0.9911","3","0.32","12.8","7","1815"
"0.9912","3.1","0.53","12","6","1816"
"0.9953","3.4","0.5","12","7","1817"
"0.9932","3.2","0.34","9.2","4","1818"
"0.9896","3.4","0.44","12.3","6","1819"
"0.9889","3.2","0.41","13","6","1820"
"0.9912","3.1","0.53","12","6","1821"
"0.9926","3.1","0.38","10.9","5","1822"
