"fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","Wine_ID"
"8.2","0.37","0.36","1","0.034","17","93","1220"
"6.4","0.23","0.33","1.15","0.044","15.5","217.5","1221"
"5.9","0.4","0.32","6","0.034","50","127","1222"
"7.6","0.28","0.39","1.2","0.038","21","115","1223"
"8","0.28","0.42","7.1","0.045","41","169","1224"
"7.2","0.23","0.39","2.3","0.033","29","102","1225"
"6.8","0.32","0.37","3.4","0.023","19","87","1226"
"7.2","0.23","0.39","2.3","0.033","29","102","1227"
"6.9","0.18","0.38","6.5","0.039","20","110","1228"
"9.4","0.26","0.53","1.2","0.047","25","109","1229"
"8.3","0.33","0.42","1.15","0.033","18","96","1230"
"7.3","0.29","0.3","13","0.043","46","238","1231"
"7.9","0.41","0.37","4.5","0.03","40","114","1232"
"7.9","0.44","0.37","5.85","0.033","27","93","1233"
"7.7","0.39","0.3","5.2","0.037","29","131","1234"
"7.7","0.26","0.31","1.3","0.043","47","155","1235"
"7.8","0.32","0.31","1.7","0.036","46","195","1236"
"6.8","0.32","0.37","3.4","0.023","19","87","1237"
"7.3","0.24","0.39","3.6","0.024","35","116","1238"
"7.1","0.44","0.37","2.7","0.041","35","128","1239"
"10.3","0.25","0.48","2.2","0.042","28","164","1240"
"7.9","0.14","0.28","1.8","0.041","44","178","1241"
"7.4","0.18","0.42","2.1","0.036","33","187","1242"
"8.1","0.43","0.42","6.6","0.033","36","141","1243"
"7.1","0.44","0.37","2.7","0.041","35","128","1244"
"6.4","0.26","0.22","5.1","0.037","23","131","1245"
"8","0.66","0.72","17.55","0.042","62","233","1246"
"8","0.2","0.4","5.2","0.055","41","167","1247"
"7.2","0.21","0.34","1.1","0.046","25","80","1248"
"7.2","0.18","0.31","1.1","0.045","20","73","1249"
"8.4","0.57","0.44","10.7","0.051","46","195","1250"
"5.3","0.26","0.23","5.15","0.034","48","160","1251"
"5.7","0.245","0.33","1.1","0.049","28","150","1252"
"5.6","0.245","0.32","1.1","0.047","24","152","1253"
"7.3","0.25","0.41","1.8","0.037","52","165","1254"
"7","0.16","0.73","1","0.138","58","150","1255"
"6.4","0.22","0.34","1.8","0.057","29","104","1256"
"7.3","0.18","0.65","1.4","0.046","28","157","1257"
"6.4","0.17","0.27","6.7","0.036","88","223","1258"
"6.9","0.29","0.16","6.8","0.034","65","212","1259"
"6.2","0.21","0.38","6.8","0.036","64","245","1260"
"6.4","0.23","0.3","7.1","0.037","63","236","1261"
"7.3","0.19","0.68","1.5","0.05","31","156","1262"
"7.3","0.18","0.65","1.4","0.046","28","157","1263"
"9.6","0.29","0.46","1.45","0.039","77.5","223","1264"
"7.2","0.14","0.35","1.2","0.036","15","73","1265"
"6.9","0.31","0.34","7.4","0.059","36","174","1266"
"7.5","0.28","0.34","4.2","0.028","36","116","1267"
"8","0.22","0.42","14.6","0.044","45","163","1268"
"7.6","0.31","0.29","10.5","0.04","21","145","1269"
"8.4","0.35","0.56","13.8","0.048","55","190","1270"
"8","0.22","0.42","14.6","0.044","45","163","1271"
"8.1","0.5","0.47","1.1","0.037","23","126","1272"
"7","0.39","0.31","5.3","0.169","32","162","1273"
"8.1","0.5","0.47","1.1","0.037","23","126","1274"
"8.4","0.35","0.56","13.8","0.048","55","190","1275"
"6.2","0.22","0.27","1.5","0.064","20","132","1276"
"8","0.22","0.42","14.6","0.044","45","163","1277"
"7.6","0.31","0.29","10.5","0.04","21","145","1278"
"7","0.24","0.36","4.9","0.083","10","133","1279"
"6.6","0.27","0.3","1.9","0.025","14","153","1280"
"7.8","0.16","0.41","1.7","0.026","29","140","1281"
"7.7","0.27","0.34","1.8","0.028","26","168","1282"
"7.4","0.31","0.74","10.7","0.039","51","147","1283"
"8","0.45","0.36","8.8","0.026","50","151","1284"
"7.7","0.27","0.34","1.8","0.028","26","168","1285"
"7.8","0.16","0.41","1.7","0.026","29","140","1286"
"6.6","0.16","0.29","1.8","0.05","40","147","1287"
"8.3","0.21","0.4","1.6","0.032","35","110","1288"
"7.2","0.32","0.33","1.4","0.029","29","109","1289"
"6.6","0.16","0.3","1.6","0.034","15","78","1290"
"8.4","0.16","0.33","1.5","0.033","16","98","1291"
"7.5","0.23","0.32","9.2","0.038","54","191","1292"
"6.2","0.17","0.3","1.1","0.037","14","79","1293"
"6.9","0.39","0.22","4.3","0.03","10","102","1294"
"6.9","0.41","0.22","4.2","0.031","10","102","1295"
"7.5","0.23","0.32","9.2","0.038","54","191","1296"
"7.5","0.38","0.33","5","0.045","30","131","1297"
"7.3","0.42","0.38","6.8","0.045","29","122","1298"
"7.3","0.34","0.39","5.2","0.04","45","163","1299"
"7.8","0.23","0.28","4.75","0.042","45","166","1300"
"9","0.245","0.38","5.9","0.045","52","159","1301"
"6.9","0.2","0.4","7.7","0.032","51","176","1302"
"7.4","0.19","0.42","6.4","0.067","39","212","1303"
"8.2","0.2","0.36","8.1","0.035","60","163","1304"
"8","0.59","0.71","17.35","0.038","61","228","1305"
"7.9","0.14","0.45","1.8","0.05","17","114","1306"
"6.8","0.24","0.4","1.8","0.047","34","105","1307"
"9.7","0.14","0.59","1.5","0.049","23","142","1308"
"9.2","0.15","0.68","1.6","0.046","22","130","1309"
"9.4","0.17","0.55","1.6","0.049","14","94","1310"
"5.2","0.365","0.08","13.5","0.041","37","142","1311"
"6.3","0.23","0.22","3.75","0.039","37","116","1312"
"9.6","0.25","0.54","1.3","0.04","16","160","1313"
"9.2","0.32","0.42","1.3","0.046","14","186","1314"
"6.4","0.31","0.4","6.2","0.04","46","169","1315"
"8.1","0.2","0.36","9.7","0.044","63","162","1316"
"7.9","0.255","0.26","2","0.026","40","190","1317"
"7","0.15","0.34","1.4","0.039","21","177","1318"
"6.4","0.15","0.31","1.1","0.044","25","96","1319"
"6.4","0.25","0.53","6.6","0.038","59","234","1320"
"7.6","0.19","0.42","1.5","0.044","6","114","1321"
"7.3","0.43","0.37","4.6","0.028","17","114","1322"
"5.1","0.31","0.3","0.9","0.037","28","152","1323"
"6.2","0.2","0.26","1.7","0.093","40","161","1324"
"6.9","0.16","0.35","1.3","0.043","21","182","1325"
"7.7","0.32","0.48","2.3","0.04","28","114","1326"
"6.5","0.22","0.72","6.8","0.042","33","168","1327"
"6.8","0.26","0.33","1.5","0.047","44","167","1328"
"5.2","0.37","0.33","1.2","0.028","13","81","1329"
"8.4","0.19","0.43","2.1","0.052","20","104","1330"
"8.3","0.21","0.41","2.2","0.05","24","108","1331"
"6.8","0.15","0.32","8.8","0.058","24","110","1332"
"7.9","0.16","0.64","17","0.05","69","210","1333"
"7.8","0.21","0.39","1.8","0.034","62","180","1334"
"9","0.24","0.5","1.2","0.048","26","107","1335"
"5.7","0.21","0.24","2.3","0.047","60","189","1336"
"7.8","0.29","0.36","7","0.042","38","161","1337"
"6.7","0.18","0.3","6.4","0.048","40","251","1338"
"6.7","0.18","0.3","6.4","0.048","40","251","1339"
"8.4","0.58","0.27","12.15","0.033","37","116","1340"
"7.2","0.16","0.32","0.8","0.04","50","121","1341"
"7.6","0.54","0.23","2","0.029","13","151","1342"
"8.4","0.58","0.27","12.15","0.033","37","116","1343"
"6.6","0.25","0.31","12.4","0.059","52","181","1344"
"7.3","0.23","0.37","1.9","0.041","51","165","1345"
"7.3","0.39","0.37","1.1","0.043","36","113","1346"
"7","0.46","0.39","6.2","0.039","46","163","1347"
"8.2","0.35","0.4","6.3","0.039","35","162","1348"
"7.8","0.29","0.36","7","0.042","38","161","1349"
"9.2","0.35","0.39","0.9","0.042","15","61","1350"
"8","0.57","0.39","3.9","0.034","22","122","1351"
"6.5","0.37","0.33","3.9","0.027","40","130","1352"
"5.7","0.21","0.24","2.3","0.047","60","189","1353"
"6.7","0.18","0.3","6.4","0.048","40","251","1354"
"7.8","0.13","0.3","1.8","0.04","43","179","1355"
"7.6","0.19","0.41","1.1","0.04","38","143","1356"
"7.3","0.22","0.41","15.4","0.05","55","191","1357"
"6.3","0.29","0.4","6.5","0.039","43","167","1358"
"6.8","0.35","0.32","2.4","0.048","35","103","1359"
"6.5","0.19","0.32","1.4","0.04","31","132","1360"
"6.2","0.12","0.26","5.7","0.044","56","158","1361"
"6","0.13","0.28","5.7","0.038","56","189.5","1362"
"6.4","0.25","0.33","1.4","0.04","42","115","1363"
"6.9","0.32","0.16","1.4","0.051","15","96","1364"
"7.6","0.19","0.41","1.1","0.04","38","143","1365"
"6.7","0.13","0.28","1.2","0.046","35","140","1366"
"7","0.14","0.41","0.9","0.037","22","95","1367"
"7.6","0.27","0.24","3.8","0.058","19","115","1368"
"7.3","0.22","0.41","15.4","0.05","55","191","1369"
"7.4","0.64","0.47","14.15","0.168","42","185","1370"
"7.6","0.28","0.39","1.9","0.052","23","116","1371"
"8.3","0.26","0.41","9.2","0.042","41","162","1372"
"10.7","0.22","0.56","8.2","0.044","37","181","1373"
"10.7","0.22","0.56","8.2","0.044","37","181","1374"
"6.9","0.23","0.34","2.7","0.032","24","121","1375"
"6.2","0.3","0.32","1.7","0.032","30","130","1376"
"6.9","0.27","0.41","1.7","0.047","6","134","1377"
"6.9","0.28","0.41","1.7","0.05","10","136","1378"
"6.9","0.28","0.3","1.6","0.047","46","132","1379"
"6.9","0.46","0.2","0.9","0.054","5","126","1380"
"6.9","0.38","0.32","8.5","0.044","36","152","1381"
"5.7","0.43","0.3","5.7","0.039","24","98","1382"
"6.6","0.56","0.16","3.1","0.045","28","92","1383"
"7.1","0.36","0.56","1.3","0.046","25","102","1384"
"6.8","0.23","0.4","1.6","0.047","5","133","1385"
"6.2","0.33","0.29","1.3","0.042","26","138","1386"
"5.6","0.49","0.13","4.5","0.039","17","116","1387"
"6.6","0.42","0.33","2.8","0.034","15","85","1388"
"7.3","0.18","0.29","1.2","0.044","12","143","1389"
"8.1","0.19","0.4","0.9","0.037","73","180","1390"
"5.9","0.19","0.26","7.4","0.034","33","123","1391"
"6.2","0.16","0.47","1.4","0.029","23","81","1392"
"6.6","0.42","0.33","2.8","0.034","15","85","1393"
"5.7","0.135","0.3","4.6","0.042","19","101","1394"
"5.6","0.49","0.13","4.5","0.039","17","116","1395"
"6.9","0.19","0.33","1.6","0.039","27","98","1396"
"7.3","0.18","0.29","1.2","0.044","12","143","1397"
"7.3","0.25","0.36","13.1","0.05","35","200","1398"
"7.3","0.25","0.36","13.1","0.05","35","200","1399"
"7","0.2","0.34","5.7","0.035","32","83","1400"
"7.3","0.25","0.36","13.1","0.05","35","200","1401"
"6.3","0.67","0.48","12.6","0.052","57","222","1402"
"7.4","0.4","0.29","5.4","0.044","31","122","1403"
"7.1","0.26","0.31","2.2","0.044","29","128","1404"
"9","0.31","0.48","6.6","0.043","11","73","1405"
"6.3","0.39","0.24","6.9","0.069","9","117","1406"
"8.2","0.22","0.36","6.8","0.034","12","90","1407"
"7.1","0.19","0.28","3.6","0.033","16","78","1408"
"7.3","0.25","0.36","13.1","0.05","35","200","1409"
"7.9","0.2","0.34","1.2","0.04","29","118","1410"
"7.1","0.26","0.32","5.9","0.037","39","97","1411"
"7","0.2","0.34","5.7","0.035","32","83","1412"
"6.9","0.3","0.33","4.1","0.035","26","155","1413"
"8.1","0.29","0.49","7.1","0.042","22","124","1414"
"5.8","0.17","0.3","1.4","0.037","55","130","1415"
"5.9","0.415","0.02","0.8","0.038","22","63","1416"
"6.6","0.23","0.26","1.3","0.045","16","128","1417"
"8.6","0.55","0.35","15.55","0.057","35.5","366.5","1418"
"6.9","0.35","0.74","1","0.044","18","132","1419"
"7.6","0.14","0.74","1.6","0.04","27","103","1420"
"9.2","0.28","0.49","11.8","0.042","29","137","1421"
"6.2","0.18","0.49","4.5","0.047","17","90","1422"
"5.3","0.165","0.24","1.1","0.051","25","105","1423"
"9.8","0.25","0.74","10","0.056","36","225","1424"
"8.1","0.29","0.49","7.1","0.042","22","124","1425"
"6.8","0.22","0.49","0.9","0.052","26","128","1426"
"7.2","0.22","0.49","1","0.045","34","140","1427"
"7.4","0.25","0.49","1.1","0.042","35","156","1428"
"8.2","0.18","0.49","1.1","0.033","28","81","1429"
"6.1","0.22","0.49","1.5","0.051","18","87","1430"
"7","0.39","0.24","1","0.048","8","119","1431"
"6.1","0.22","0.49","1.5","0.051","18","87","1432"
"6.5","0.36","0.49","2.9","0.03","16","94","1433"
"7.1","0.29","0.49","1.2","0.031","32","99","1434"
"7.4","0.25","0.49","1.1","0.042","35","156","1435"
"6.9","0.23","0.24","14.2","0.053","19","94","1436"
"8.5","0.56","0.74","17.85","0.051","51","243","1437"
"8.2","0.18","0.49","1.1","0.033","28","81","1438"
"6.3","0.23","0.49","7.1","0.05","67","210","1439"
"6.1","0.25","0.49","7.6","0.052","67","226","1440"
"7.2","0.26","0.74","13.6","0.05","56","162","1441"
"7.2","0.31","0.24","1.4","0.057","17","117","1442"
"8","0.25","0.49","1.2","0.061","27","117","1443"
"7","0.18","0.49","5.3","0.04","34","125","1444"
"7.8","0.43","0.49","13","0.033","37","158","1445"
"8.3","0.2","0.74","4.45","0.044","33","130","1446"
"6.3","0.27","0.49","1.2","0.063","35","92","1447"
"7.4","0.16","0.49","1.2","0.055","18","150","1448"
"7.4","0.16","0.49","1.2","0.055","18","150","1449"
"6.9","0.19","0.49","6.6","0.036","49","172","1450"
"7.8","0.43","0.49","13","0.033","37","158","1451"
"7.2","0.4","0.49","1.1","0.048","11","138","1452"
"7.8","0.43","0.49","13","0.033","37","158","1453"
"7.6","0.52","0.49","14","0.034","37","156","1454"
"8.3","0.21","0.49","19.8","0.054","50","231","1455"
"6.9","0.34","0.74","11.2","0.069","44","150","1456"
"6.3","0.27","0.49","1.2","0.063","35","92","1457"
"8.3","0.2","0.74","4.45","0.044","33","130","1458"
"7.1","0.22","0.74","2.7","0.044","42","144","1459"
"7.9","0.11","0.49","4.5","0.048","27","133","1460"
"8.5","0.17","0.74","3.6","0.05","29","128","1461"
"6.4","0.145","0.49","5.4","0.048","54","164","1462"
"7.4","0.16","0.49","1.2","0.055","18","150","1463"
"8.3","0.19","0.49","1.2","0.051","11","137","1464"
"8","0.44","0.49","9.1","0.031","46","151","1465"
"7","0.2","0.74","0.8","0.044","19","163","1466"
"6.9","0.19","0.49","6.6","0.036","49","172","1467"
"7.1","0.25","0.49","3","0.03","30","96","1468"
"6.5","0.24","0.24","1.6","0.046","15","60","1469"
"7.2","0.4","0.49","1.1","0.048","11","138","1470"
"7.6","0.52","0.49","14","0.034","37","156","1471"
"7.8","0.43","0.49","13","0.033","37","158","1472"
"7.8","0.21","0.49","1.35","0.052","6","48","1473"
"7","0.2","0.49","5.9","0.038","39","128","1474"
"6.9","0.25","0.24","3.6","0.057","13","85","1475"
"7.2","0.08","0.49","1.3","0.05","18","148","1476"
"7.1","0.85","0.49","8.7","0.028","40","184","1477"
"7.6","0.51","0.24","1.2","0.04","10","104","1478"
"7.9","0.22","0.24","4.6","0.044","39","159","1479"
"7.7","0.16","0.49","2","0.056","20","124","1480"
"7.2","0.08","0.49","1.3","0.05","18","148","1481"
"6.6","0.25","0.24","1.7","0.048","26","124","1482"
"6.7","0.16","0.49","2.4","0.046","57","187","1483"
"6.9","0.25","0.24","3.6","0.057","13","85","1484"
"7.5","0.32","0.24","4.6","0.053","8","134","1485"
"7.4","0.28","0.49","1.5","0.034","20","126","1486"
"6.2","0.15","0.49","0.9","0.033","17","51","1487"
"6.7","0.25","0.74","19.4","0.054","44","169","1488"
"6.5","0.26","0.74","13.3","0.044","68","224","1489"
"7.9","0.16","0.74","17.85","0.037","52","187","1490"
"5.6","0.185","0.49","1.1","0.03","28","117","1491"
"7.5","0.2","0.49","1.3","0.031","8","97","1492"
"8","0.3","0.49","9.4","0.046","47","188","1493"
"8","0.34","0.49","9","0.033","39","180","1494"
"7.7","0.35","0.49","8.65","0.033","42","186","1495"
"7.6","0.29","0.49","9.6","0.03","45","197","1496"
"6.7","0.62","0.24","1.1","0.039","6","62","1497"
"6.8","0.27","0.49","1.2","0.044","35","126","1498"
"7.7","0.27","0.49","1.8","0.041","23","86","1499"
"6.7","0.51","0.24","2.1","0.043","14","155","1500"
"7.4","0.19","0.49","9.3","0.03","26","132","1501"
"8.3","0.2","0.49","1.7","0.04","34","169","1502"
"6.6","0.3","0.24","1.2","0.034","17","121","1503"
"6.8","0.36","0.24","4.6","0.039","24","124","1504"
"7","0.17","0.74","12.8","0.045","24","126","1505"
"9.2","0.18","0.49","1.5","0.041","39","130","1506"
"8.1","0.2","0.49","8.1","0.051","51","205","1507"
"7.8","0.26","0.74","7.5","0.044","59","160","1508"
"6.8","0.21","0.49","14.5","0.06","50","170","1509"
"7.9","0.2","0.49","1.6","0.053","15","144","1510"
"8","0.18","0.49","1.8","0.061","10","145","1511"
"8.8","0.23","0.74","3.2","0.042","15","126","1512"
"7.3","0.22","0.49","9.4","0.034","29","134","1513"
"7.3","0.22","0.49","9.9","0.031","48","161","1514"
"7.4","0.19","0.49","9.3","0.03","26","132","1515"
"7.3","0.155","0.49","1.3","0.039","34","136","1516"
"8.2","0.22","0.49","9.6","0.037","53","154","1517"
"8.2","0.24","0.49","9.3","0.038","52","163","1518"
"8.4","0.23","0.49","7.8","0.035","22","95","1519"
"8.3","0.2","0.49","1.7","0.04","34","169","1520"
"8.3","0.2","0.49","1.7","0.038","38","167","1521"
"6.6","0.3","0.24","1.2","0.034","17","121","1522"
"6.9","0.21","0.49","1.4","0.041","15","164","1523"
"8","0.25","0.49","9","0.044","31","185","1524"
"6.6","0.21","0.49","18.15","0.042","41","158","1525"
"7.2","0.27","0.74","12.5","0.037","47","156","1526"
"14.2","0.27","0.49","1.1","0.037","33","156","1527"
"7.9","0.28","0.49","7.7","0.045","48","195","1528"
"7.4","0.27","0.49","1.1","0.037","33","156","1529"
"6.6","0.21","0.49","18.15","0.042","41","158","1530"
"7.2","0.27","0.74","12.5","0.037","47","156","1531"
"8.1","0.3","0.49","8.1","0.037","26","174","1532"
"7.5","0.23","0.49","7.7","0.049","61","209","1533"
"7.3","0.26","0.49","5","0.028","32","107","1534"
"7.1","0.18","0.74","15.6","0.044","44","176","1535"
"8.5","0.15","0.49","1.5","0.031","17","122","1536"
"8.9","0.13","0.49","1","0.028","6","24","1537"
"8.1","0.28","0.49","1","0.04","32","148","1538"
"6","0.17","0.49","1","0.034","26","106","1539"
"7.3","0.26","0.49","5","0.028","32","107","1540"
"7.1","0.18","0.74","15.6","0.044","44","176","1541"
"7.1","0.53","0.24","0.8","0.029","29","86","1542"
"7.2","0.16","0.49","1.3","0.037","27","104","1543"
"7.3","0.14","0.49","1.1","0.038","28","99","1544"
"8.9","0.13","0.49","1","0.028","6","24","1545"
"7.9","0.12","0.49","5.2","0.049","33","152","1546"
"6.7","0.29","0.49","4.7","0.034","35","156","1547"
"6.7","0.3","0.49","4.8","0.034","36","158","1548"
"7.1","0.36","0.24","1.8","0.025","32","102","1549"
"8.5","0.15","0.49","1.5","0.031","17","122","1550"
"7.9","0.18","0.49","5.2","0.051","36","157","1551"
"6.6","0.19","0.99","1.2","0.122","45","129","1552"
"7.3","0.21","0.49","1.8","0.038","44","152","1553"
"6.9","0.3","0.49","7.6","0.057","25","156","1554"
"7.9","0.42","0.49","8.2","0.056","32","164","1555"
"6.9","0.24","0.49","1.3","0.032","35","148","1556"
"7.6","0.23","0.49","10","0.036","45","182","1557"
"7.9","0.18","0.49","5.2","0.051","36","157","1558"
"6.2","0.43","0.49","6.4","0.045","12","115","1559"
"8.8","0.35","0.49","1","0.036","14","56","1560"
"7.8","0.3","0.74","1.8","0.033","33","156","1561"
"9.1","0.28","0.49","2","0.059","10","112","1562"
"7.1","0.34","0.49","1.5","0.027","26","126","1563"
"7.8","0.3","0.74","1.8","0.033","33","156","1564"
"9.1","0.28","0.49","2","0.059","10","112","1565"
"8.5","0.19","0.49","3.5","0.044","29","117","1566"
"7.6","0.18","0.49","18.05","0.046","36","158","1567"
"7.5","0.19","0.49","1.8","0.055","19","110","1568"
"7.4","0.3","0.49","8.2","0.055","49","188","1569"
"6.7","0.3","0.74","5","0.038","35","157","1570"
"6.6","0.3","0.74","4.6","0.041","36","159","1571"
"7.4","0.3","0.49","8.2","0.055","49","188","1572"
"6.9","0.22","0.49","7","0.063","50","168","1573"
"7.8","0.26","0.49","3.1","0.045","21","116","1574"
"8.5","0.17","0.49","8.8","0.048","23","108","1575"
"6.8","0.17","0.74","2.4","0.053","61","182","1576"
"6.2","0.27","0.49","1.4","0.05","20","74","1577"
"7.1","0.64","0.49","1.8","0.05","17","128","1578"
"6.4","0.18","0.74","11.9","0.046","54","168","1579"
"7.6","0.31","0.49","13.4","0.062","50","191","1580"
"9.8","0.31","0.49","15.4","0.046","13","119","1581"
"9","0.3","0.49","7.2","0.039","32","84","1582"
"8.4","0.24","0.49","7.4","0.039","46","108","1583"
"6.4","0.18","0.74","11.9","0.046","54","168","1584"
"6.4","0.25","0.74","7.8","0.045","52","209","1585"
"7.3","0.3","0.74","13.5","0.039","46","165","1586"
"9.3","0.31","0.49","1.3","0.042","34","147","1587"
"6.4","0.25","0.74","7.8","0.045","52","209","1588"
"7.3","0.3","0.74","13.5","0.039","46","165","1589"
"7","0.27","0.74","1.5","0.036","27","122","1590"
"7.9","0.14","0.74","1.2","0.028","30","165","1591"
"6.4","0.12","0.49","6.4","0.042","49","161","1592"
"6.8","0.21","0.74","1.2","0.047","25","111","1593"
"8.6","0.16","0.49","7.3","0.043","9","63","1594"
"7","0.29","0.49","3.8","0.047","37","136","1595"
"6.4","0.27","0.49","7.3","0.046","53","206","1596"
"6.6","0.55","0.01","2.7","0.034","56","122","1597"
"6.4","0.27","0.49","7.3","0.046","53","206","1598"
"6.3","0.24","0.74","1.4","0.172","24","108","1599"
"6.7","0.33","0.49","1.6","0.167","20","94","1600"
"7","0.29","0.49","3.8","0.047","37","136","1601"
"8.2","0.34","0.49","8","0.046","55","223","1602"
"5.6","0.39","0.24","4.7","0.034","27","77","1603"
"5.6","0.41","0.24","1.9","0.034","10","53","1604"
"6.7","0.41","0.01","2.8","0.048","39","137","1605"
"7.1","0.26","0.49","2.2","0.032","31","113","1606"
"7.5","0.32","0.49","1.7","0.031","44","109","1607"
"5.8","0.19","0.49","4.9","0.04","44","118","1608"
"6.9","0.27","0.49","23.5","0.057","59","235","1609"
"8.1","0.2","0.49","11.8","0.048","46","212","1610"
"7.5","0.32","0.49","1.7","0.031","44","109","1611"
"8.2","0.26","0.49","5.2","0.04","19","100","1612"
"7.8","0.26","0.49","3.2","0.027","28","87","1613"
"8","0.14","0.49","1.5","0.035","42","120","1614"
"8","0.29","0.49","11.7","0.035","40","131","1615"
"7.5","0.19","0.49","1.6","0.047","42","140","1616"
"6.9","0.34","0.49","7.3","0.045","61","206","1617"
"6.2","0.2","0.49","1.6","0.065","17","143","1618"
"6.4","0.37","0.49","13.3","0.045","53","243","1619"
"6.2","0.22","0.49","6","0.029","31","128","1620"
"7.8","0.26","0.49","3.2","0.027","28","87","1621"
"8.9","0.32","0.49","1.6","0.05","17","131","1622"
"6.5","0.44","0.49","7.7","0.045","16","169","1623"
"7","0.14","0.49","5.9","0.053","22","118","1624"
"9","0.17","0.49","1","0.039","46","131","1625"
"6.4","0.26","0.49","6.4","0.037","37","161","1626"
"9","0.22","0.49","10.4","0.048","52","195","1627"
"8.9","0.32","0.49","1.6","0.05","17","131","1628"
"8.2","0.2","0.49","3.5","0.057","14","108","1629"
"7.8","0.15","0.24","7.7","0.047","21","98","1630"
"6.9","0.25","0.24","1.8","0.053","6","121","1631"
"8.2","0.2","0.49","3.5","0.057","14","108","1632"
"7.1","0.28","0.49","6.5","0.041","28","111","1633"
"7.4","0.19","0.49","6.7","0.037","15","110","1634"
"8.3","0.25","0.49","16.8","0.048","50","228","1635"
"7.5","0.14","0.74","1.6","0.035","21","126","1636"
"7.8","0.49","0.49","7","0.043","29","149","1637"
"8.1","0.12","0.49","1.2","0.042","43","160","1638"
"7.6","0.47","0.49","13","0.239","42","220","1639"
"7.9","0.22","0.49","3.8","0.042","26","105","1640"
"7.8","0.49","0.49","7","0.043","29","149","1641"
"6.4","0.22","0.49","7.5","0.054","42","151","1642"
"7.3","0.19","0.49","15.55","0.058","50","134","1643"
"8.1","0.3","0.49","12.3","0.049","50","144","1644"
"7.3","0.19","0.49","15.55","0.058","50","134","1645"
"7.5","0.24","0.49","9.4","0.048","50","149","1646"
"6.4","0.22","0.49","7.5","0.054","42","151","1647"
"7.8","0.21","0.49","1.2","0.036","20","99","1648"
"7.1","0.3","0.49","1.6","0.045","31","100","1649"
"6.9","0.26","0.49","1.6","0.058","39","166","1650"
"7.6","0.31","0.49","3.95","0.044","27","131","1651"
"6.4","0.42","0.74","12.8","0.076","48","209","1652"
"8.2","0.29","0.49","1","0.044","29","118","1653"
"7.9","0.33","0.28","31.6","0.053","35","176","1654"
"6.6","0.46","0.49","7.4","0.052","19","184","1655"
"7.8","0.28","0.49","1.3","0.046","27","142","1656"
"5.8","0.15","0.49","1.1","0.048","21","98","1657"
"7.8","0.4","0.49","7.8","0.06","34","162","1658"
"6.6","0.31","0.49","7.7","0.05","52","220","1659"
"6.6","0.325","0.49","7.7","0.049","53","217","1660"
"6.6","0.27","0.49","7.8","0.049","62","217","1661"
"6.7","0.26","0.49","8.3","0.047","54","191","1662"
"6.7","0.21","0.49","1.4","0.047","30","114","1663"
"7.9","0.33","0.28","31.6","0.053","35","176","1664"
"8.1","0.28","0.46","15.4","0.059","32","177","1665"
"6.5","0.13","0.37","1","0.036","48","114","1666"
"7.8","0.445","0.56","1","0.04","8","84","1667"
"8.8","0.39","0.34","5.9","0.055","33","128","1668"
"7.9","0.18","0.33","1.2","0.033","20","72","1669"
"7.1","0.31","0.38","1.2","0.036","10","124","1670"
"7.8","0.24","0.18","6.7","0.046","33","160","1671"
"7","0.35","0.3","6.5","0.028","27","87","1672"
"6.6","0.26","0.31","4.8","0.138","41","168","1673"
"6.6","0.27","0.31","5.3","0.137","35","163","1674"
"6.8","0.22","0.29","8.9","0.046","82","188","1675"
"6.2","0.27","0.32","8.8","0.047","65","224","1676"
"7","0.35","0.3","6.5","0.028","27","87","1677"
"7.3","0.23","0.37","1.8","0.032","60","156","1678"
"6.2","0.3","0.2","6.6","0.045","42","170","1679"
"6.4","0.35","0.2","5.7","0.034","18","117","1680"
"7.6","0.32","0.34","18.35","0.054","44","197","1681"
"6.3","0.31","0.3","10","0.046","49","212","1682"
"7.2","0.25","0.28","14.4","0.055","55","205","1683"
"7.2","0.25","0.28","14.4","0.055","55","205","1684"
"7.3","0.26","0.33","17.85","0.049","41.5","195","1685"
"7.2","0.25","0.28","14.4","0.055","55","205","1686"
"7.4","0.26","0.37","9.4","0.047","42","147","1687"
"7.3","0.26","0.33","17.85","0.049","41.5","195","1688"
"6.7","0.25","0.26","1.55","0.041","118.5","216","1689"
"7.1","0.16","0.25","1.3","0.034","28","123","1690"
"9","0.43","0.3","1.5","0.05","7","175","1691"
"7.2","0.25","0.28","14.4","0.055","55","205","1692"
"7","0.24","0.3","4.2","0.04","41","213","1693"
"6.7","0.265","0.22","8.6","0.048","54","198","1694"
"7.7","0.12","0.32","1.4","0.06","47","150","1695"
"7.2","0.21","0.33","3","0.036","35","132","1696"
"8.5","0.32","0.36","14.9","0.041","47","190","1697"
"6.9","0.18","0.3","2","0.038","39","190","1698"
"7","0.24","0.3","4.2","0.04","41","213","1699"
"6.3","0.26","0.29","2.2","0.043","35","175","1700"
"6.7","0.26","0.3","1.8","0.043","25","121","1701"
"7.9","0.29","0.36","11.1","0.033","43","208","1702"
"6.5","0.27","0.19","4.2","0.046","6","114","1703"
"6.7","0.33","0.42","6.4","0.058","27","151","1704"
"6.7","0.31","0.42","6.4","0.057","25","148","1705"
